Time(h),Venus_uM,BFP_uM,Venus_uM_STDERR,BFP_uM_STDERR
0,0,0,0,0
0.5,0.242101911,-0.016277536,0.013433192,0.001315888
1,0.300700637,-0.005909511,0.026829644,0.004177632
1.5,0.422643312,0.015143121,0.023745018,0.005839427
2,0.401082803,0.040645473,0.025924643,0.005501024
2.5,0.437547771,0.064353867,0.032115871,0.008476196
3,0.466783439,0.097893857,0.050405009,0.012532143
3.5,0.446990446,0.128857231,0.057804091,0.0166412
4,0.433232484,0.165316801,0.057737482,0.017769901
4.5,0.473375796,0.200307787,0.062424792,0.021111351
5,0.391019108,0.234771138,0.055077149,0.017933483
5.5,0.410477707,0.264389043,0.051989809,0.018556009
6,0.389506369,0.291395155,0.0491451,0.021561826
6.5,0.416146497,0.309431473,0.054343447,0.021543846
7,0.383232484,0.330255463,0.053009986,0.020231198
7.5,0.411035032,0.349883481,0.04919018,0.020828098
8,0.390828025,0.3689311,0.049906072,0.019709135
8.5,0.374729299,0.387530229,0.044015311,0.018941557
9,0.370334395,0.400659544,0.043946618,0.018819303
9.5,0.380127389,0.416664468,0.044519233,0.019215702
10,0.405047771,0.429336499,0.045215224,0.019284624
