time(h),mean_0mM,sd_0mM,mean_2mM,sd_2mM,mean_10mM,sd_10mM,,"0,2,10 refers to added glucose/gluconate"
0,0,0,0,0,0,0,,
0.083333333,-0.34,0.501231816,-0.7,0.407962417,-0.54,0.673003219,,
0.166666667,-0.45,0.671441236,-0.71,0.171561456,-0.53,0.79952069,,
0.25,-0.11,0.072111026,-0.74,0.330807094,-0.62,0.642209727,,
0.333333333,0.31,0.361985267,-0.27,0.32969683,-0.05,0.715984171,,
0.416666667,0.16,0.561634519,-0.3,0.68922662,0.41,0.925760948,,
0.5,0.72,0.495412286,0.36,0.468757222,0.36,1.022562142,,
0.583333333,0.62,0.435928129,0.33,0.591805148,0.57,0.820325139,,
0.666666667,0.87,0.735481702,0.73,0.697877735,0.49,0.571576766,,
0.75,1.24,0.702661607,0.59,0.900721933,0.84,1.184961321,,
0.833333333,1.17,0.875842452,0.9,0.530031446,1.27,0.457092259,,
0.916666667,1.22,0.569297813,1.2,0.810020576,1.13,0.32,,
1,1.55,0.454899256,1.26,0.260832002,1.62,0.939272768,,
1.083333333,1.88,0.725419419,1.65,0.62984125,1.62,0.697638875,,
1.166666667,2.03,0.916860586,1.74,0.434664622,1.94,0.996845023,,
1.25,2.57,0.701498396,2.32,0.693565666,1.76,0.43,,
1.333333333,2.95,0.320364376,2.07,0.87789521,2.01,0.71346572,,
1.416666667,3.14,0.806494472,2.1,1.015332458,2.75,0.611337332,,
1.5,3.57,0.453247541,2.86,0.213853532,2.57,0.35388322,,
1.583333333,3.76,0.568008216,2.93,0.929533933,2.79,0.575007246,,
1.666666667,3.98,1.310432499,3.67,0.890748749,2.82,0.663350084,,
1.75,3.95,0.730022831,3.41,0.922189424,3.28,0.52943366,,
1.833333333,4.22,1.105637071,4.05,1.007587879,3.04,0.591805148,,
1.916666667,4.4,0.774854825,3.97,1.245163978,3.12,0.53693575,,
2,5.15,0.961266526,4.9,1.071883078,3.31,0.819288309,,
2.083333333,5.31,1.261705195,4.94,0.745452882,3.25,0.398789836,,
2.166666667,6.26,1.408225834,5.75,0.961405222,3.45,0.416052881,,
2.25,5.2,0.827063077,5.88,1.235408165,3.42,0.662142986,,
2.333333333,6.4,1.504404644,5.99,0.886923522,3.81,0.456544996,,
2.416666667,6.14,1.554745424,6.52,1.249759977,4.08,0.519358579,,
2.5,6.67,0.411987055,6.47,1.230487708,4.02,0.389743505,,
2.583333333,7.32,1.030744068,7.22,0.965107939,4.36,0.440945953,,
2.666666667,7.71,1.240335976,7.38,1.613267905,4.41,0.265769324,,
2.75,7.51,0.870938191,8.16,1.345894993,4.63,0.130511813,,
2.833333333,8.09,0.321455025,8.15,1.232355468,4.59,0.253245599,,
2.916666667,8.4,1.081865672,8.66,0.933077346,4.37,0.529937103,,
3,9.13,1.412102451,8.63,0.958244923,4.82,0.503322296,,
3.083333333,9.3,1.302881422,9.32,1.135884384,5.14,1.017169275,,
3.166666667,9.33,0.986525891,9.84,1.422193142,5.13,0.472898862,,
3.25,9.67,1.394070778,9.46,1.465651164,5.43,0.352183664,,
3.333333333,10.03,0.707695792,10.39,0.876184912,4.89,0.088881944,,
3.416666667,10.68,1.160517126,10.56,1.38363049,5.08,0.48438965,,
3.5,10.78,1.41086262,11.2,1.239637044,5.67,0.30022214,,
3.583333333,11.91,1.287529935,11.95,1.28690844,5.69,0.21779195,,
3.666666667,11.85,0.272213152,11.94,1.490547998,5.43,0.177857621,,
3.75,11.87,1.245364739,12.84,1.875606569,5.98,0.629629521,,
