time(h),mean_0mM,sd_0mM,mean_2mM,sd_2mM,mean_10mM,sd_10mM,,,,
0,0.00,0,0.00,0,0.00,0,,,,
0.083333333,0.50,0.2899362,0.33,0.195576924,0.05,0.106020438,,,,
0.166666667,1.04,0.091934759,0.54,0.256858586,0.29,0.117500355,,,,
0.25,1.08,0.15390365,0.65,0.231317963,0.35,0.214570113,,,,
0.333333333,1.44,0.150223167,0.89,0.40327534,0.42,0.144056702,,,,
0.416666667,2.37,0.563388262,1.83,1.096977818,0.81,0.36857021,,,,
0.5,3.10,0.272141507,2.47,1.557191168,1.84,0.747381429,,,,
0.583333333,3.95,0.190148188,3.90,2.523031708,2.91,0.653867724,,,,
0.666666667,4.28,0.217039935,4.50,2.7148577,4.12,1.131263158,,,,
0.75,4.55,0.372776519,5.43,3.581748735,5.20,1.36356628,,,,
0.833333333,5.20,0.50768724,6.19,3.653024911,6.20,1.863094558,,,,
0.916666667,5.37,0.712587772,7.49,2.826376184,8.27,1.351246462,,,,
1,6.34,0.934743459,8.79,2.643520821,11.44,1.574055378,,,,
1.083333333,7.57,0.438757716,10.42,2.973924399,14.32,2.358886814,,,,
1.166666667,7.66,1.170884708,11.79,3.342876955,17.09,1.902790144,,,,
1.25,8.39,0.646587194,13.77,3.723746277,19.72,2.235482125,,,,
1.333333333,9.14,1.007509305,14.93,4.654122509,22.62,1.175655987,,,,
1.416666667,9.57,0.724505579,16.38,4.562434986,24.75,1.472418758,,,,
1.5,10.19,1.244196528,16.93,4.713041799,26.82,2.06398167,,,,
1.583333333,10.33,0.071472605,18.16,4.698039627,28.47,2.394261264,,,,
1.666666667,10.34,0.773730142,19.22,5.085987908,30.81,2.547188057,,,,
1.75,10.75,0.753065956,20.50,5.337805385,32.64,2.681385898,,,,
1.833333333,11.39,0.459410855,20.74,5.113303857,33.73,2.016563165,,,,
1.916666667,11.47,1.177415956,21.25,5.333994407,35.71,2.011079395,,,,
2,11.50,0.591460058,22.18,5.677362621,36.61,2.045959514,,,,
